film.title,distributor.name,gross.box.o.weekend,adm.weekend,weekend.start,weekend.end
Monster Hunter,Sena,1572126,1045,2021-01-22,2021-01-24
Dragon Rider,Samfilm,1417327,1204,2021-01-22,2021-01-24
Honest Thief,Myndform,934945,650,2021-01-22,2021-01-24
Cats & Dogs 3: Paws Unite,Samfilm,688795,594,2021-01-22,2021-01-24
Wonder Woman 1984,Samfilm,662733,467,2021-01-22,2021-01-24
Druk // Drykkja (Another Round),Bíó Paradís,520025,320,2021-01-22,2021-01-24
Come Play,Samfilm,409963,266,2021-01-22,2021-01-24
Palli Rófulausi,Myndform,272836,274,2021-01-22,2021-01-24
The War With Grandpa (2020),Sena,270245,220,2021-01-22,2021-01-24
The Witches,Samfilm,261852,197,2021-01-22,2021-01-24
Freaky,Myndform,231980,148,2021-01-22,2021-01-24
Blackbird (2020),Samfilm,186810,132,2021-01-22,2021-01-24
Hrekkjavökueyjan,Sena,157421,142,2021-01-22,2021-01-24
Jungleland,Samfilm,120615,80,2021-01-22,2021-01-24
Shadow in the Cloud,Sena,108730,70,2021-01-22,2021-01-24
Fjölskylda Stórfótar,Myndform,97910,93,2021-01-22,2021-01-24
Last and First Men,Bíó Paradís,78166,51,2021-01-22,2021-01-24
Honest Thief,Myndform,1032137,708,2021-01-15,2021-01-17
Wonder Woman 1984,Samfilm,965138,785,2021-01-15,2021-01-17
Come Play,Samfilm,923023,679,2021-01-15,2021-01-17
Dragon Rider,Samfilm,867972,977,2021-01-15,2021-01-17
Cats & Dogs 3: Paws Unite,Samfilm,723480,682,2021-01-15,2021-01-17
Skoppa og Skrítla - Brot af því Besta (2020),Samfilm,701650,529,2021-01-15,2021-01-17
Shadow in the Cloud,Sena,443808,271,2021-01-15,2021-01-17
Druk // Drykkja (Another Round),Bíó Paradís,434461,273,2021-01-15,2021-01-17
Freaky,Myndform,380677,314,2021-01-15,2021-01-17
The Witches,Samfilm,372107,284,2021-01-15,2021-01-17
Palli Rófulausi,Myndform,280176,242,2021-01-15,2021-01-17
The War With Grandpa (2020),Sena,278133,215,2021-01-15,2021-01-17
Hrekkjavökueyjan,Sena,182149,162,2021-01-15,2021-01-17
Jungleland,Samfilm,155065,117,2021-01-15,2021-01-17
Elliott The Littlest Reindeer,Samfilm,98780,108,2021-01-15,2021-01-17
Fjölskylda Stórfótar,Myndform,91670,88,2021-01-15,2021-01-17
The Specials (Hors Normes),Bíó Paradís,27040,16,2021-01-15,2021-01-17
About Endlessness (Om det oändliga),Bíó Paradís,24572,16,2021-01-15,2021-01-17
Honest Thief,Myndform,1490504,1047,2021-01-08,2021-01-10
Wonder Woman 1984,Samfilm,1457504,1036,2021-01-08,2021-01-10
Come Play,Samfilm,1188274,715,2021-01-08,2021-01-10
Cats & Dogs 3: Paws Unite,Samfilm,673019,589,2021-01-08,2021-01-10
Skoppa og Skrítla - Brot af því Besta (2020),Samfilm,672555,504,2021-01-08,2021-01-10
Freaky,Myndform,637082,424,2021-01-08,2021-01-10
Druk // Drykkja (Another Round),Bíó Paradís,579083,375,2021-01-08,2021-01-10
Dragon Rider,Samfilm,307782,240,2021-01-08,2021-01-10
The Witches,Samfilm,303259,255,2021-01-08,2021-01-10
Elliott The Littlest Reindeer,Samfilm,252235,198,2021-01-08,2021-01-10
Hrekkjavökueyjan,Sena,241157,210,2021-01-08,2021-01-10
The War With Grandpa (2020),Sena,167579,142,2021-01-08,2021-01-10
Fjölskylda Stórfótar,Myndform,99690,103,2021-01-08,2021-01-10
Songbird,Sena,79580,51,2021-01-08,2021-01-10
Fatman,Samfilm,47985,32,2021-01-08,2021-01-10
The Specials (Hors Normes),Bíó Paradís,27464,17,2021-01-08,2021-01-10
Wonder Woman 1984,Samfilm,2443655,1614,2021-01-01,2021-01-03
Skoppa og Skrítla - Brot af því Besta (2020),Samfilm,1061500,818,2021-01-01,2021-01-03
Freaky,Myndform,1043624,707,2021-01-01,2021-01-03
Elliott The Littlest Reindeer,Samfilm,682090,550,2021-01-01,2021-01-03
Druk // Drykkja (Another Round),Bíó Paradís,419650,262,2021-01-01,2021-01-03
The Witches,Samfilm,418850,346,2021-01-01,2021-01-03
Dragon Rider,Samfilm,212415,180,2021-01-01,2021-01-03
Songbird,Sena,99482,63,2021-01-01,2021-01-03
The War With Grandpa (2020),Sena,78406,59,2021-01-01,2021-01-03
Fatman,Samfilm,71140,47,2021-01-01,2021-01-03
The Grinch,Myndform,70395,81,2021-01-01,2021-01-03
Fjölskylda Stórfótar,Myndform,68420,93,2021-01-01,2021-01-03
Hrekkjavökueyjan,Sena,26179,27,2021-01-01,2021-01-03
The Specials (Hors Normes),Bíó Paradís,10140,6,2021-01-01,2021-01-03
Wonder Woman 1984,Samfilm,2414666,1652,2020-12-25,2020-12-27
Elliott The Littlest Reindeer,Samfilm,393170,336,2020-12-25,2020-12-27
The Witches,Samfilm,276351,240,2020-12-25,2020-12-27
Skoppa og Skrítla - Brot af því Besta (2020),Samfilm,265745,273,2020-12-25,2020-12-27
Druk // Drykkja (Another Round),Bíó Paradís,218384,151,2020-12-25,2020-12-27
Fatman,Samfilm,122135,88,2020-12-25,2020-12-27
The Grinch,Myndform,79756,95,2020-12-25,2020-12-27
Songbird,Sena,76775,51,2020-12-25,2020-12-27
